gene,log2FC_trt_vs_veh,detected,model,signature,compartment
Lum,3.728,True,AAP16,matrisome_core,stroma(mouse)
Bgn,0.475,True,AAP16,matrisome_core,stroma(mouse)
Vcan,-0.531,True,AAP16,matrisome_core,stroma(mouse)
Hspg2,-0.915,True,AAP16,matrisome_core,stroma(mouse)
Dusp4,-1.719,True,AAP16,MAPK_targets,stroma(mouse)
Dusp6,-1.062,True,AAP16,MAPK_targets,stroma(mouse)
Spry2,-0.425,True,AAP16,MAPK_targets,stroma(mouse)
Spry4,-1.352,True,AAP16,MAPK_targets,stroma(mouse)
Etv1,-0.637,True,AAP16,MAPK_targets,stroma(mouse)
Etv4,-1.161,True,AAP16,MAPK_targets,stroma(mouse)
Etv5,-1.458,True,AAP16,MAPK_targets,stroma(mouse)
Fosl1,-0.458,True,AAP16,MAPK_targets,stroma(mouse)
Ccnd1,-1.908,True,AAP16,MAPK_targets,stroma(mouse)
Dusp6,-1.062,True,AAP16,RASON_inhibition_PD,stroma(mouse)
Spry2,-0.425,True,AAP16,RASON_inhibition_PD,stroma(mouse)
Spry4,-1.352,True,AAP16,RASON_inhibition_PD,stroma(mouse)
Etv4,-1.161,True,AAP16,RASON_inhibition_PD,stroma(mouse)
Etv5,-1.458,True,AAP16,RASON_inhibition_PD,stroma(mouse)
Fosl1,-0.458,True,AAP16,RASON_inhibition_PD,stroma(mouse)
Ccnd1,-1.908,True,AAP16,RASON_inhibition_PD,stroma(mouse)
DUSP4,-0.955,True,AAP16,MAPK_targets,tumor(human)
DUSP6,0.413,True,AAP16,MAPK_targets,tumor(human)
SPRY2,0.684,True,AAP16,MAPK_targets,tumor(human)
SPRY4,-0.266,True,AAP16,MAPK_targets,tumor(human)
ETV1,-0.781,True,AAP16,MAPK_targets,tumor(human)
ETV4,-1.055,True,AAP16,MAPK_targets,tumor(human)
ETV5,0.212,True,AAP16,MAPK_targets,tumor(human)
FOSL1,0.0,True,AAP16,MAPK_targets,tumor(human)
CCND1,-2.454,True,AAP16,MAPK_targets,tumor(human)
DUSP6,0.413,True,AAP16,RASON_inhibition_PD,tumor(human)
SPRY2,0.684,True,AAP16,RASON_inhibition_PD,tumor(human)
SPRY4,-0.266,True,AAP16,RASON_inhibition_PD,tumor(human)
ETV4,-1.055,True,AAP16,RASON_inhibition_PD,tumor(human)
ETV5,0.212,True,AAP16,RASON_inhibition_PD,tumor(human)
FOSL1,0.0,True,AAP16,RASON_inhibition_PD,tumor(human)
CCND1,-2.454,True,AAP16,RASON_inhibition_PD,tumor(human)
