gene,mean_parental,mean_resistant,log2FC,p_value,padj,n_parental,n_resistant
Ripk2,2.7433222160887647,3.749274052554052,1.0059518364652873,7.731671095276072e-05,0.005771607793644586,9,9
Fads2,8.051927685470655,6.927422500342759,-1.1245051851278962,7.760674252399567e-05,0.005771607793644586,9,9
Ugt1a7c,6.316649908856018,3.9332699701110454,-2.3833799387449726,7.723498783484536e-05,0.005771607793644586,9,9
Serpinb6b,6.720666105294753,5.720655768331032,-1.0000103369637205,7.904676146705982e-05,0.005792277584947958,9,9
Ethe1,6.16996533886459,5.4858557299653405,-0.6841096088992495,7.963534228532619e-05,0.005804531615463775,9,9
Hic1,0.2936655169972744,1.6493421347653396,1.3556766177680653,8.200209352491041e-05,0.00593028613943425,9,9
Pomgnt1,5.280018484801184,5.917209124409497,0.6371906396083125,8.222159209000738e-05,0.00593028613943425,9,9
S100a1,7.096953127827694,6.02740520756157,-1.0695479202661247,8.366697933900241e-05,0.006003105767573423,9,9
4931406C07Rik,5.994420922791646,5.063622461354733,-0.9307984614369129,8.418318085915014e-05,0.006008847147749494,9,9
Cyb5a,7.907000680323886,6.455128680264061,-1.4518720000598249,8.658605655117745e-05,0.006148502654891859,9,9
Cnot6l,6.253101831793179,5.345043756480042,-0.9080580753131375,8.809200072578191e-05,0.006223361035889085,9,9
Akt3,3.7901919635753103,5.152458396819141,1.362266433243831,9.033123260119647e-05,0.006348995205684094,9,9
Atp4a,2.3500983559499375,0.889518692743409,-1.4605796632065284,9.146604182645648e-05,0.006363819152531638,9,9
Gem,3.9866656547377457,5.309778825478188,1.323113170740442,9.122518931262377e-05,0.006363819152531638,9,9
Anxa3,9.839471279053779,9.111475679307311,-0.7279955997464675,9.317690387285566e-05,0.006450276521369144,9,9
Rfk,7.49845651442752,6.554026141672624,-0.9444303727548959,9.440718815110944e-05,0.006463834898126491,9,9
Sqor,7.458208515441568,5.850473987231247,-1.6077345282103206,9.403690686437353e-05,0.006463834898126491,9,9
Itih5,1.6898929261795874,0.39499430428313476,-1.2948986218964527,9.478038976637277e-05,0.006463834898126491,9,9
Mtmr11,4.9408812352861124,3.8128751991429874,-1.128006036143125,9.588483564987125e-05,0.006506943329618848,9,9
Slc25a1,8.741418377739329,7.599035258617557,-1.1423831191217717,9.658518029958975e-05,0.006522340410819355,9,9
Gstt3,3.793339705969247,2.1565267093922293,-1.6368129965770177,9.788965545749904e-05,0.006546251910594693,9,9
Nxnl2,1.429708237177292,0.37774367044210044,-1.0519645667351916,9.75065249958249e-05,0.006546251910594693,9,9
Tmem98,7.6892345531071635,6.630113367488476,-1.0591211856186877,9.913019052834504e-05,0.006580438557551486,9,9
Depdc7,5.263403533093439,4.312117454950314,-0.9512860781431254,9.983388926598872e-05,0.006580438557551486,9,9
Plec,8.713262057706551,9.24666180556092,0.5333997478543697,9.977044823916044e-05,0.006580438557551486,9,9
Tpd52,8.473850654664187,7.771760039603844,-0.7020906150603423,0.00010065497242945314,0.0066029661913721265,9,9
Jak2,6.496866499589356,5.549524955314246,-0.9473415442751101,0.00010133295573337508,0.006615937432146801,9,9
Gsta4,9.86631277207526,7.254044336918028,-2.6122684351572314,0.00010326960077476268,0.006679070517714229,9,9
Vrk3,5.180042970307261,4.670008493122548,-0.5100344771847123,0.00010283611762258893,0.006679070517714229,9,9
H2bc4,5.892033921691207,4.576112388677678,-1.3159215330135297,0.00010441372458645769,0.006721511541602996,9,9
Cep295,3.736772849534281,4.41846663725906,0.6816937877247793,0.00010516430884675439,0.006738341947315761,9,9
Abitram,3.767297885866072,4.202837494204396,0.43553960833832406,0.00010691914492208762,0.006819065465030922,9,9
Rnf152,3.8595012213370214,1.7893199693400936,-2.070181251996928,0.00010771107082995908,0.006837915722366435,9,9
