gene,mean_parental,mean_resistant,log2FC,p_value,padj,n_parental,n_resistant
LINC01270,0.4268561329631242,1.0412834255056393,0.6144272925425152,0.00012173509674261353,0.03721579071120466,6,6
CAMK2D,5.52697450273238,5.934600376056005,0.40762587332362443,0.0001334097335145661,0.03872117118329007,6,6
ZNF711,1.764493457309151,2.4441649254826596,0.6796714681735085,0.00013493541034149598,0.03872117118329007,6,6
DSP,5.4974364307545995,6.849916868293721,1.3524804375391213,0.00014418969039393738,0.039648697469425113,6,6
ALG5,4.394345082815954,4.609940639306833,0.21559555649087958,0.00014900432940337418,0.039648697469425113,6,6
SMG7,6.814125609212084,6.992904271080437,0.17877866186835334,0.00014772008993492724,0.039648697469425113,6,6
GPCPD1,2.2019999779813926,3.4019507148015165,1.1999507368201239,0.00014258088675777838,0.039648697469425113,6,6
DTNA,0.20323782140529745,0.9235764075164946,0.7203385861111972,0.00015570491320469798,0.03975138345648256,6,6
ABLIM3,5.750701275589861,5.175695274900675,-0.5750060006891866,0.00016025497942825223,0.03975138345648256,6,6
CLN5,1.8572714481452721,2.3215884671712312,0.4643170190259591,0.00015405343929582283,0.03975138345648256,6,6
SLC3A2,8.149042763054199,8.478421829833488,0.3293790667792891,0.0001579707378158098,0.03975138345648256,6,6
MTA3,6.430089470380058,6.080020269691707,-0.3500692006883508,0.00016375643034971762,0.03994292263613529,6,6
CPM,2.327723657668223,2.710213148709436,0.38248949104121266,0.00017171119412471151,0.04053215041959924,6,6
NEO1,2.4200987773876617,3.8188365637794632,1.3987377863918016,0.00017105002460328876,0.04053215041959924,6,6
THYN1,4.997713392537638,4.65383137952194,-0.34388201301569765,0.00018118389923145375,0.04208930738495755,6,6
ANTXR2,5.675419226696839,6.252085864186743,0.5766666374899039,0.00018950371281627822,0.04333416932915987,6,6
ZNF251,3.3219937374899597,3.7133543774510875,0.3913606399611278,0.00019325096813363414,0.04351119874824209,6,6
PPP4R4,0.4905812237617467,1.2374751872099574,0.7468939634482108,0.0002100972879863047,0.0447478099215759,6,6
TNFRSF1B,4.110396004613271,5.892385665247279,1.7819896606340073,0.00020208898146512562,0.0447478099215759,6,6
RAB4A,5.694613870509805,6.019414831946633,0.3248009614368277,0.00020679176068844524,0.0447478099215759,6,6
NDUFC2,2.3803189745712907,2.00252512817059,-0.3777938464007007,0.00021097361698590617,0.0447478099215759,6,6
TAGLN2,9.705235927640297,9.460904409541227,-0.24433151809907017,0.00022269518063715898,0.04590343617781439,6,6
GM2A,6.1925263441791,6.505189773232385,0.31266342905328504,0.0002215071843641625,0.04590343617781439,6,6
TRAPPC12,6.096325199182537,5.833525187677485,-0.2628000115050524,0.00023143996092088093,0.04704338650107073,6,6
FHL1,2.328288042804661,5.997687677761848,3.6693996349571876,0.0002359372666588582,0.04730057393907383,6,6
TPBG,6.018858701810156,6.913197709241575,0.8943390074314195,0.0002606862755366891,0.04954732003220059,6,6
ARPC5,7.356230138293185,7.617177686872261,0.2609475485790762,0.00025851201802915593,0.04954732003220059,6,6
CSTF2T,4.964295022759788,5.449973639246957,0.4856786164871689,0.00025090173802953716,0.04954732003220059,6,6
SRP72,6.625638555936605,6.87755285476381,0.25191429882720495,0.00025680726900417306,0.04954732003220059,6,6
DANCR,5.13694623299713,4.480920756824504,-0.6560254761726263,0.0002707432361695232,0.050525828335573945,6,6
DOCK11,0.2792724320134463,1.3199095271528611,1.0406370951394148,0.0002727393535025857,0.050525828335573945,6,6
DENND2A,0.6483029581667035,1.9319885534939711,1.2836855953272677,0.0003097536407932855,0.05216251289065584,6,6
CAPS2,1.8568975908263734,2.3605122891801185,0.5036146983537451,0.00031008805066532684,0.05216251289065584,6,6
MTUS1,2.9540045177069714,3.9017813486114914,0.94777683090452,0.00029989387159766315,0.05216251289065584,6,6
MAN1A1,1.5260035446018811,4.103833026826476,2.577829482224595,0.00030211461071787436,0.05216251289065584,6,6
SPRY1,5.438661150858671,5.822483472483097,0.3838223216244261,0.0003075226958767165,0.05216251289065584,6,6
ZFYVE27,5.134654785295297,4.767065932736264,-0.36758885255903273,0.00030318244766228765,0.05216251289065584,6,6
CAVIN2,0.1568563834340886,2.3760971955095944,2.2192408120755056,0.0003014366746724956,0.05216251289065584,6,6
FAM114A2,4.4604692525308165,4.8117758230785705,0.35130657054775405,0.00028918986034401454,0.05216251289065584,6,6
PTRH2,5.359884513241082,4.834935818527627,-0.524948694713455,0.0003156740291896175,0.05249874337715968,6,6
AKIRIN2,5.679159120284886,6.19573158739496,0.5165724671100733,0.0003320518262841267,0.054602005367058365,6,6
NUTF2,6.8704119066736125,6.661757510453019,-0.20865439622059334,0.00034122029295517617,0.054827140699807535,6,6
LYRM1,4.501817640139812,4.910129104377217,0.4083114642374044,0.00034465985270804874,0.054827140699807535,6,6
SHARPIN,6.185648895833061,5.906042492126633,-0.27960640370642764,0.00033863578550681487,0.054827140699807535,6,6
GPRASP2,3.103341560924868,3.6874758508016825,0.5841342898768147,0.00034959696864122537,0.05501453372112187,6,6
VEZT,6.035174549730978,6.316611017180189,0.28143646744921114,0.0003583773667574068,0.055294599289728394,6,6
PGGT1B,4.102670961858598,4.459885716330458,0.35721475447186,0.00035893316928761173,0.055294599289728394,6,6
