,H358_RMC-Resistant_Control_3,H358_RMC-Resistant_Control_2,H358_RMC-Resistant_MUC1_Silencing_1,H358_RMC-Resistant_MUC1_Silencing_2,H358_RMC-Resistant_Control_1,H358_RMC-Resistant_MUC1_Silencing_3
TMEM168,2.177605835,2.107467732,2.187795493,2.314657664,2.295643014,2.110087936
TMEM169,0.028345717,0.019730686,0.062835971,0.033147549,0.079031074,0.027162126
TMEM17,1.371437633,1.249060851,0.964242259,1.139244786,1.064165955,0.936881168
TMEM170A,4.935586745,4.613492712,6.617057319,6.483166435,4.906788145,6.036033195
TMEM170B,0.783463302,0.787306986,0.397716423,0.397342995,0.795628207,0.364389152
TMEM171,0.113602789,0.244331139,0.310367866,0.246383317,0.149467954,0.238083811
TMEM173,2.587746698,2.283353402,3.228051238,3.122264375,2.494108968,2.998290913
TMEM174,0.0,0.0,0.0,0.0,0.0,0.0
TMEM175,4.363017374,3.973023972,4.850223309,4.608946195,4.428171185,4.193480258
TMEM176A,0.472954085,0.243622868,0.138028987,0.221108141,0.401335602,0.133258828
TMEM176B,0.180211658,0.154079834,0.055857724,0.130356805,0.193175551,0.09592653
TMEM177,1.92652875,1.664606102,2.085938093,2.254505469,1.808141549,2.212216921
TMEM178A,0.094445683,0.056995877,0.058545164,0.097610281,0.021036274,0.120658476
TMEM178B,0.000672971,0.003652964,0.004378583,0.002924259,0.002360341,0.004514363
TMEM179,0.007884069,0.001783236,0.0,0.0,0.0,0.0
TMEM179B,24.06114697,23.88250644,20.00059475,19.38799932,18.86622538,18.56717644
TMEM18,1.138092215,1.014449072,1.307183586,1.452144359,1.079718503,1.396032208
TMEM181,4.337483133,4.242833168,3.351287411,3.673280252,4.821199136,3.201999131
TMEM182,1.165595662,1.046052728,2.318033864,2.052229167,1.085775849,1.85484842
TMEM183A,9.01431278,9.007639053,9.724453354,9.711959,8.25130699,9.200961741
TMEM183B,1.848090398,1.820657357,1.998755874,2.343056811,1.54283402,2.111620732
TMEM184A,0.496441133,0.535853861,1.017341949,1.119831164,0.576362083,0.993503427
TMEM184B,7.549215654,7.434226287,9.699016806,9.614627944,6.900341578,9.006578036
TMEM184C,8.931038464,8.697925163,7.157365765,6.291104644,8.592059389,6.495671358
TMEM185A,1.396206826,1.593169143,1.913988982,1.885036107,1.581018798,1.829938537
TMEM185B,7.133844737,6.932700944,6.416133959,6.108416623,6.403464544,5.601481371
TMEM186,4.95242885,4.895622228,5.145082626,6.020902988,4.784367624,5.38102863
TMEM187,1.282074169,1.146994858,1.444621171,1.532917438,1.105322892,1.28621099
TMEM189,7.517912563,7.48685026,8.755172811,8.000806149,6.991767928,7.486555756
TMEM189-UBE2V1,0.0,0.0,0.0,0.0,0.0,0.0
TMEM19,3.092168782,3.11570082,3.31271719,3.73120522,3.456158773,3.513590391
TMEM190,0.0,0.0,0.0,0.023921566,0.051853138,0.042418521
TMEM191A,0.074680734,0.037554797,0.115729164,0.094558309,0.048514769,0.075532277
TMEM191B,0.006636302,0.066101926,0.018515598,0.007197369,0.054327533,0.012716185
TMEM191C,0.027252153,0.123389407,0.044354393,0.036943444,0.03983921,0.078328491
TMEM192,5.434634447,4.994712534,7.516648473,7.814251507,5.200856728,7.24148132
TMEM196,0.0,0.0,0.0,0.0,0.0,0.0
TMEM198,0.196415336,0.14494128,0.545006593,0.679064819,0.134263296,0.590682682
TMEM198B,1.433618132,1.275841688,1.078572605,0.909267081,1.34649419,1.016911042
TMEM199,3.522792707,3.479073781,4.660452386,5.135978758,3.654987392,5.007854721
