gene,mean_DOXminus,mean_DOXplus_MUC1kd,log2FC,p_value,padj,n_DOXminus,n_DOXplus_MUC1kd
ARHGDIB,3.6751683569275873,5.536727505250188,1.861559148322601,3.2248297015901844e-05,0.0038855385764815643,3,3
BRWD3,2.291722601035326,1.528737477079232,-0.7629851239560941,3.1570792022238664e-05,0.0038855385764815643,3,3
RUBCN,1.3078063280095502,1.7301462428080467,0.42233991479849653,3.195455569332596e-05,0.0038855385764815643,3,3
CSF1,3.582076815559278,4.100703194191194,0.5186263786319159,3.234389794308188e-05,0.0038855385764815643,3,3
PCGF6,2.16545786975121,2.6359679508555267,0.4705100811043166,3.1552397169180125e-05,0.0038855385764815643,3,3
NABP1,2.2294822989677505,3.6122058946181035,1.382723595650353,3.1372120559833123e-05,0.0038855385764815643,3,3
CCDC86,5.031120766673202,6.011746727724937,0.9806259610517349,2.9502220069119845e-05,0.0038855385764815643,3,3
CHFR,1.9536276228507312,2.6990217448249703,0.745394121974239,3.1690622703171094e-05,0.0038855385764815643,3,3
FAM222A-AS1,0.2646122615452539,1.100633050359473,0.836020788814219,3.141465907656903e-05,0.0038855385764815643,3,3
DUSP3,3.2546675458798027,3.9413279742242064,0.6866604283444038,2.821712939630217e-05,0.0038855385764815643,3,3
PLCB1,2.3672778479949454,1.372780793485971,-0.9944970545089744,3.140469622287708e-05,0.0038855385764815643,3,3
ARHGEF5,0.1940171841342145,0.5182366002267326,0.32421941609251803,3.281166572269395e-05,0.0038855385764815643,3,3
CCDC58,5.646769827743307,6.120480684907048,0.4737108571637414,3.396496996831425e-05,0.0038974179660926384,3,3
CCNB3,2.5005408174890076,2.0052081056243924,-0.49533271186461514,3.41043753357104e-05,0.0038974179660926384,3,3
ALDH1A3,0.2693324459945412,1.7283590191458407,1.4590265731512995,3.448611137310641e-05,0.0038974179660926384,3,3
KRTAP2-3,0.6450226745152366,2.929731059899544,2.2847083853843073,3.33509735897818e-05,0.0038974179660926384,3,3
EDIL3,4.385220965517678,3.139149055438814,-1.2460719100788635,3.422006243027341e-05,0.0038974179660926384,3,3
WARS,4.7081232695358715,3.469560177852627,-1.2385630916832446,3.40930871956511e-05,0.0038974179660926384,3,3
INHBA,0.08599211963555288,0.582764897131889,0.4967727774963361,3.450393529994266e-05,0.0038974179660926384,3,3
CXCR4,3.4718174837183042,1.8180293780159449,-1.6537881057023593,3.4477400953670766e-05,0.0038974179660926384,3,3
MRC2,2.7601304844695185,1.8396726256939224,-0.920457858775596,3.38385572187451e-05,0.0038974179660926384,3,3
MARVELD2,0.3964981757616755,1.009650532000813,0.6131523562391374,3.475533698739528e-05,0.0039085208925736855,3,3
TGM2,4.752734227734154,6.236246729754053,1.4835125020198987,3.514603081602641e-05,0.003935122257331238,3,3
PCP4,4.63448449659039,1.118006122959139,-3.5164783736312506,3.587037002762796e-05,0.003970025337698775,3,3
CYR61,4.861038422875551,6.276399408906482,1.4153609860309304,3.592431263743407e-05,0.003970025337698775,3,3
PSKH1,2.194381392189109,1.6723225138486235,-0.5220588783404856,3.5708000385998306e-05,0.003970025337698775,3,3
LPGAT1,3.0594385471847994,2.221635934722731,-0.8378026124620686,3.6313050110610664e-05,0.003995687686308918,3,3
AAR2,3.22675215456931,3.7529794179448364,0.5262272633755263,3.6952921396045996e-05,0.004031342638454112,3,3
GABRB2,0.025862330868032166,0.12828096405326772,0.10241863318523556,3.686878975224288e-05,0.004031342638454112,3,3
SERPINE1,4.014906780512486,6.589249142399843,2.574342361887357,3.7145572610972646e-05,0.004035115649416637,3,3
