gene,jq1_log2FC,reversed
NAV3,-2.0421736702673146,0
ITPKB,-3.1447683648801448,0
GALNT1,0.598772089232213,1
CTF1,-0.847875293014809,0
KCNN4,-1.6376885613146879,0
MT1L,-1.0336590622524557,0
VSIG1,-0.333858805599075,0
F12,-1.7749231367596572,0
GRK5,0.2627895489031751,1
SDR16C5,-1.6363072141021875,0
GALNT16,-1.2413575427809027,0
FOXQ1,-1.7260214218992829,0
B3GALT1,0.0,0
FRAT1,-0.556722071151647,0
CEACAM6,0.0,0
CAMK2A,-2.0042874665595654,0
PRR34-AS1,-1.7820089357703877,0
SYT9,-0.39047705713865,0
UGT8,-0.7243911161188534,0
CTGF,0.4076980141899753,1
ZNF503-AS2,-1.599176178368499,0
ZADH2,-0.49256520397897496,0
SYT17,-1.6245103599203983,0
DPF1,-1.6051244223576075,0
MAMLD1,-0.6618322723822612,0
CHMP4C,-0.9390878315044064,0
ARMCX4,-1.2211008821567724,0
NRIP3,0.8156756241217202,1
SPTSSB,0.0,0
PODN,0.3519223472621565,1
LAMC2,-1.9868863525384732,0
DNMBP,-0.24721438035852294,0
CHST15,-0.06621372293884864,0
TM4SF1,-1.285873588042369,0
ROR1,-0.6763562867163904,0
TRIML2,-2.8114744483623415,0
CLEC2B,-2.8674430427200526,0
RAPGEF3,-2.3912412292719205,0
SPATA13,0.38078281960928706,1
LOC100129034,-0.6432227642137578,0
PEAR1,-2.437341730525903,0
CARD11,-0.33363405567859306,0
NRP2,-1.1814353114163483,0
PPP1R14A,0.002095347172218709,1
AFF3,-1.2483716958034927,0
LAMB1,-1.4843618044325986,0
ASPH,0.3651718447257508,1
EPS8,0.6169195140520554,1
ATE1-AS1,-0.9137484845757691,0
SFXN3,-0.12215508770735894,0
F2,-0.859350793805413,0
FZD7,-0.17873296662824067,0
MX2,-0.712675043004003,0
NAV2,-1.0016137113067662,0
SPRED2,-0.016027599240295842,0
EOMES,-2.6760626396400764,0
SNHG24,-1.5843406673256006,0
BCAM,-0.857206881182698,0
B3GNT3,-0.5286705215827439,0
CCNJL,-0.992728323581348,0
PLEKHA7,-1.8644026615367433,0
KCNJ6,0.5279902629337442,1
MORC2-AS1,-0.13888876482898727,0
SHB,-0.17129223479863676,0
ELL2,0.29576217336045296,1
MIR31HG,-0.17980881075272315,0
TTN,2.795688168533986,1
ZBTB20,-0.7858189299404859,0
KRT75,-0.33353447612262543,0
LMCD1,-0.0816967604980281,0
PRDM8,-1.9056447897232227,0
CAPN8,-0.7738974126970652,0
SVIL,-1.2034788624938688,0
ATG4A,0.39334058145524686,1
TRAM2,-0.1072508929131093,0
PEG10,1.4024004907112015,1
DNAJA4,1.4248340271530084,1
HNF4G,-2.0436974631525717,0
SVIP,-0.2470675021586235,0
TFF3,-0.6667080929835173,0
CPED1,-0.8326929027634424,0
SLC9A5,-1.0546656055663042,0
TGFB1,0.002052972799807762,1
THEM6,0.2422910066509072,1
PREX1,-0.4133867298153593,0
CFAP58,-2.008232615208402,0
LOC254896,-2.7975031502727536,0
HEG1,-0.5757687631509132,0
TSPY26P,-1.3771368277015086,0
CAT,0.10897562799681637,1
KCNS3,-1.0883369895767188,0
TGM2,-1.1658030174095328,0
SLC38A2,0.48175662927409135,1
EVA1C,-1.1377152347123078,0
NRIP1,-0.31872676316588766,0
COL22A1,-2.231705605296783,0
SV2A,-0.3130174452774006,0
PYGB,0.08081532202089825,1
AHR,0.04736412585355154,1
SLC35F3,-1.0004063469502702,0
PAQR5,-0.8266392350321841,0
NNT-AS1,-1.001656279129941,0
ABCC3,-1.1450316321425786,0
DYNC1I1,-1.24636689581978,0
CASP4,-1.7614639780626264,0
CD99L2,-0.6826942586363849,0
MPP1,0.36742755702847774,1
C10orf91,-3.3000749928004707,0
ETS2,-0.6156118463558915,0
STEAP3,-1.2437544033155383,0
ANKRD35,0.0,0
ME3,-1.1913665460394691,0
HAAO,-0.9193425259437897,0
RASL11A,-0.3806448823154174,0
S100A2,-2.535552051632496,0
ELK3,-0.5005558286471246,0
CCDC68,-1.5004475574919014,0
IL1RL1,0.0,0
ADRB2,1.7974261940591183,1
LOC100507334,-1.050455039527023,0
RGL1,0.47119431263178324,1
PRKCQ-AS1,-1.8283949305060867,0
PRTFDC1,-0.8593908058729034,0
COL6A3,-2.6042186134830008,0
ATOH8,-2.212014640351576,0
PLB1,-0.7748831496845137,0
FAM86DP,-0.8209488530897717,0
CYP2B6,0.0,0
OPN3,-0.3334880265404081,0
PLCE1,-0.3729042252483836,0
SRPX2,-0.5924765679602677,0
