gene,log2FC,p,fdr
MFSD11,0.9625704154723813,0.00014648253079988443,0.013957624037473802
HSPA14,-0.5034100349619788,0.00014653318656764535,0.013957624037473802
ZCWPW1,-1.927196411022221,0.0001465616423953812,0.013957624037473802
FHL3,-1.2490896608855442,0.0001476742325874836,0.014013173146070352
AKIP1,-1.010306807153695,0.00015019920572183245,0.014055337044684474
NGEF,-2.556745067026392,0.0001503241152203891,0.014055337044684474
KCNH2,-2.466205923847154,0.00015048011829098447,0.014055337044684474
COLGALT2,-1.256035999958625,0.00015057420205663206,0.014055337044684474
MYL9,-2.409353073022837,0.00015077302061153506,0.014055337044684474
SYTL2,-1.8492673628116467,0.00015234044853943275,0.014151624221315256
PRR36,-2.6670309024112546,0.0001531171323789248,0.014151624221315256
ARHGAP33,-2.2567104875716506,0.000155264293560214,0.014151624221315256
KCNIP3,-3.599864983377345,0.000155988270706523,0.014151624221315256
RBP7,-0.6333274538262756,0.00015620747893461165,0.014151624221315256
HDGF,-1.1047622744799774,0.00015640319772884456,0.014151624221315256
SNHG12,1.2635647520736644,0.00015656347130412314,0.014151624221315256
PARP3,-1.7587363079345515,0.00015658740860627425,0.014151624221315256
TRIQK,-1.2553373740075235,0.00015661665332749274,0.014151624221315256
RET,-1.9533911991647113,0.00015806497472931335,0.014233912265165205
PSME1,-1.0529532678163527,0.00015930495453596902,0.014296944648609424
CYP27C1,-2.2593817229774773,0.0001601862141783735,0.014327466285042022
DPYSL3,2.897868570082233,0.00016076705525821567,0.014331002653068216
GOLGA7B,-2.8443917164946857,0.000163512285275937,0.014502840492106988
CTSH,-1.421758809787005,0.00016385858835316931,0.014502840492106988
SHISA5,-1.3453349567477773,0.0001643381358878979,0.014502840492106988
OAS3,-2.248557791036074,0.00016629735348147002,0.014539129315119793
RPS6KL1,-2.4168542538575917,0.00016707127287360387,0.014539129315119793
CENPW,-0.5469925030441445,0.00016708070293687397,0.014539129315119793
ADAP1,-2.358142855439638,0.0001674277610506036,0.014539129315119793
C11orf73,-0.9214979411363533,0.00016792209880357715,0.014539129315119793
ACSL5,-3.0429482310689595,0.000168044327494869,0.014539129315119793
LRP1,-2.5357167138125662,0.00016877937672333393,0.014555159605049725
RANBP1,-0.6976587937987819,0.0001724755599675272,0.014795249006953618
CLDN7,-3.292640960676354,0.0001731266447325102,0.014795249006953618
THBS1,-3.077657515262308,0.00017323993171503764,0.014795249006953618
DCAF11,-1.0464858111963302,0.00017482848600556983,0.01484101135307079
TMC7,-1.0256285103479374,0.00017489690433080592,0.01484101135307079
TNFRSF25,-3.291920748876893,0.00017556153941436948,0.014846634783808337
SLC22A18,-2.2479635389465678,0.00017608473360210833,0.014846634783808337
APOL6,-3.349787668821328,0.0001767136515413739,0.014852361665263093
GABBR2,-2.528147294550078,0.0001775357773063213,0.014874239570205242
ARMC9,-0.89631363814342,0.00017878251489407786,0.014893797178393613
CACNG4,-2.1274515749105314,0.0001791766233756515,0.014893797178393613
OAZ2,0.2988532612071637,0.00017945689518064447,0.014893797178393613
GATS,-0.724035351350885,0.00018002594228966939,0.014894333819121867
C19orf66,-1.188665719898113,0.00018245966169692481,0.015048659013788424
L1CAM,-1.9061014043830156,0.00018383105809903724,0.015114680941527984
NDE1,-0.9045722278690995,0.00018727330480326591,0.015119981515930279
ACE,-2.003128232385982,0.00018748835021908415,0.015119981515930279
