gene,log2FC,p,fdr
HCK,5.207399825010214,0.00012320090790794258,0.03943241106061426
SGK1,5.50313810913768,0.000123621911918073,0.03943241106061426
THBD,-5.845259112963819,0.00012699582715334002,0.03971143953212798
LINC00173,2.823169903359344,0.0001274965952872853,0.03971143953212798
BMP5,3.739121901782295,0.00013326081250420778,0.04102418617498722
SMIM14,-1.505847622614132,0.0001434846951075163,0.04365917723750342
CD55,-3.222698666568502,0.00014663712375829688,0.04365917723750342
ADAMTS15,-2.0550749106364474,0.00015098644453332362,0.04365917723750342
SOCS3,-1.2985723108402514,0.0001562018178461155,0.04365917723750342
PLEKHH2,-1.9470858388485492,0.00015671296687301678,0.04365917723750342
TMEM158,-2.08621935674703,0.00016032676544864086,0.04365917723750342
LCN2,1.6455611590211632,0.00016283232916732595,0.04365917723750342
ADAM19,-1.5049424948640873,0.0001639509851921178,0.04365917723750342
BMP7,2.556096783256814,0.0001655438057425444,0.04365917723750342
RHBDL2,-2.185858201640845,0.00016630773888563714,0.04365917723750342
ANPEP,-2.2718306498610055,0.00016638042984669062,0.04365917723750342
ELOVL6,-4.212940665007691,0.000167124274198227,0.04365917723750342
CCM2L,2.117791933122188,0.00016762198819998092,0.04365917723750342
TOX2,-2.1589806320138845,0.00016846306236597164,0.04365917723750342
CAMK2N1,-1.340445981806318,0.00017150164304217,0.04365917723750342
CYTH4,-2.7774728268133364,0.00017204812761123476,0.04365917723750342
COL13A1,-4.288326450630989,0.00017272039398944013,0.04365917723750342
STAMBPL1,-2.3536850438894374,0.00017338666578419043,0.04365917723750342
C1orf115,1.8552104471528095,0.00017407488892456037,0.04365917723750342
JPH3,3.4511084793721833,0.00017480161613504672,0.04365917723750342
TSHZ1,-1.7832344950053898,0.00018006942408930291,0.04419619705116408
RGS4,-8.514975596906929,0.00018174276140546462,0.04419619705116408
PTGIS,-4.228455719393707,0.00018195979144766325,0.04419619705116408
HIPK2,-2.629531081792855,0.0001853581048576387,0.04461232569187259
HDAC9,-2.254907150390749,0.00018740433438794006,0.04469846624252895
MMP16,-2.0308530824646285,0.00019004973192119346,0.044924702255478545
RASD2,-2.103286774693534,0.0001917518225625372,0.0449259247994971
GRAMD3,3.524740852164869,0.00019511479406064843,0.04531284362066375
AGR2,-4.020685233322441,0.00020143402250510716,0.04637361518106706
DSP,2.9671668544907064,0.00020483146117041722,0.046642600961742886
CACNA1G,-1.4450826368723035,0.0002065116373168459,0.046642600961742886
ATG16L2,0.7990858758268757,0.00020788770211466138,0.046642600961742886
STEAP1B,-5.342266716050323,0.00021124226911473806,0.046715489966706596
SHISA2,-4.992347581608195,0.0002117415975828061,0.046715489966706596
C10orf10,-1.3614852559645776,0.00021556959949875433,0.04716698468371505
VAMP5,-1.986516862936556,0.00022008088780316559,0.047759356594990234
ITGA10,-4.549795145916638,0.00022218790108849868,0.04782459090502441
TDRD5,3.1884766594168434,0.00022695207113874818,0.04842272029468399
NCR3LG1,-1.745665555285835,0.00022862474171238902,0.04842272029468399
IGF2,2.4113801444419423,0.0002306684606262037,0.0484678372625297
SEMA6D,5.419969179195906,0.00023451927052183677,0.04888895816587109
AIF1L,1.7417049585961468,0.00024391032528532614,0.04928156765508066
FHOD1,-1.7674683177861823,0.00024585082417123043,0.04928156765508066
S100A16,-2.198638999776728,0.0002461047132776479,0.04928156765508066
TRHDE-AS1,-5.991439071310754,0.00024622757913623654,0.04928156765508066
HLA-F,3.7309391955496443,0.00024717765555536933,0.04928156765508066
CHST11,3.2245555969868063,0.00024757123694525886,0.04928156765508066
LINC00886,-1.1762754524098789,0.0002545481888258659,0.050292263426602986
SLFN5,2.2503387173350706,0.00026033365731588793,0.05062596674264905
KIF5C,3.9770561535494435,0.0002646558904029316,0.05062596674264905
HOXC12,4.208251607787341,0.0002677596727093759,0.05062596674264905
ALDH8A1,6.986315064075785,0.00027047465825429736,0.05062596674264905
AREG,-7.398500086467855,0.00027099308323947117,0.05062596674264905
ZMIZ1,-1.8716483264926715,0.0002726094968088573,0.05062596674264905
GRIN2A,-2.401944337097179,0.00027344072772964836,0.05062596674264905
EFHD1,1.7489736289054658,0.00027447041251928183,0.05062596674264905
DIO3,-1.5046665848153769,0.00027937378977791486,0.05062596674264905
