gene,log2FC,p,fdr
SERPINA3,-4.202000241712096,3.617956472978533e-05,0.006195052357956541
SLC27A3,-2.3310677761335947,3.6414562239075224e-05,0.006195052357956541
TDRD3,-1.453848283832392,3.643532862645521e-05,0.006195052357956541
GTF3A,-0.5141297741675199,3.650342465878075e-05,0.006195052357956541
MALL,-1.1439291312336533,3.7058147274233346e-05,0.006233888544547921
P2RX5,-2.5536891410519464,3.740713989494205e-05,0.006233888544547921
METTL10,-0.9378644780298035,3.763506632610085e-05,0.006233888544547921
CRIP2,-1.6858831759629798,3.767411396138498e-05,0.006233888544547921
LOC100507639,1.9828623601493502,3.809755813575486e-05,0.00626480032077087
NFYB,-0.8954707050789956,3.8691092806084824e-05,0.006311225835194508
SP6,-2.4810545605201515,3.920886240026659e-05,0.006311225835194508
ARHGEF39,-1.1321222575135295,3.9466359593238003e-05,0.006311225835194508
ETV7,-2.5693488938040128,3.9509687948914704e-05,0.006311225835194508
DSEL,-1.6522194625346787,3.9747072870062114e-05,0.006311225835194508
TMC6,-2.6284123913509907,3.989934144777555e-05,0.006311225835194508
PDP1,-1.3300990438130444,4.0181092887900924e-05,0.006311225835194508
RAB36,-2.2137627207005837,4.028695622843709e-05,0.006311225835194508
MUC16,-4.126470099885221,4.0941135325254833e-05,0.0063759797513889506
TNFSF12,-3.050462567186469,4.1754367795173075e-05,0.006390975513506095
KREMEN1,-1.7191708129505487,4.1892299076245714e-05,0.006390975513506095
CCL2,-3.1770538043440837,4.196343132683702e-05,0.006390975513506095
TSPEAR-AS1,1.4035626800057406,4.2172070821999004e-05,0.006390975513506095
MFI2,-1.9452418787467085,4.224440849343028e-05,0.006390975513506095
LIG3,-0.7055670100015448,4.3025565742849854e-05,0.006428041496086329
ADM2,-2.931409213399128,4.385031584082207e-05,0.006428041496086329
PPP4R1,-0.7074287615904478,4.409873004874938e-05,0.006428041496086329
LMNTD2,-1.0164276417032312,4.4422596486277e-05,0.006428041496086329
SGK1,-1.2014042998191599,4.4871015972569775e-05,0.006428041496086329
MREG,-1.4464032363772956,4.4990962693343094e-05,0.006428041496086329
TXNRD2,-1.1130563382852952,4.510013997974551e-05,0.006428041496086329
OPTN,-1.189891205151385,4.5320889841677414e-05,0.006428041496086329
FBXL16,-1.6809843902761887,4.542619521776129e-05,0.006428041496086329
AKIP1,-1.1181400101013494,4.5746553517647406e-05,0.006428041496086329
NCOA6,-0.731990191449734,4.608936190599656e-05,0.006428041496086329
F2R,-1.2753795705052209,4.61039730439714e-05,0.006428041496086329
CTPS2,-1.3350915685493892,4.6140650182194314e-05,0.006428041496086329
MEX3A,-1.3665718941245206,4.622044933831078e-05,0.006428041496086329
FAM131C,-2.128644369953271,4.632926978652274e-05,0.006428041496086329
RNASET2,-0.9694325415205727,4.6374161501510435e-05,0.006428041496086329
FAT4,-1.6200760430819887,4.699521812485967e-05,0.006468236006492468
TBC1D5,-1.1553137657347161,4.7330119453373356e-05,0.006468236006492468
DGCR5,-1.5222190773039541,4.7397083484779555e-05,0.006468236006492468
GPX8,-1.6156377245589493,4.8152912129249385e-05,0.006512581800256304
MSRB3,-0.8315502123829344,4.828473524938094e-05,0.006512581800256304
SLFN5,1.0619873497566399,4.8460004330519044e-05,0.006512581800256304
FZD8,-2.415601731758657,4.9574459595676265e-05,0.006591809938046275
SORBS3,-1.9865729616377878,4.9737437005837396e-05,0.006591809938046275
RDH14,-1.0003505051145734,4.979648678410784e-05,0.006591809938046275
CSF1,-1.6951304910916374,5.1064911496144734e-05,0.00669802179403629
SPOCK1,-1.6709483457890517,5.122726415603259e-05,0.00669802179403629
STPG1,-1.0941596725902896,5.135782527627448e-05,0.00669802179403629
FAM213A,-0.9783416612020748,5.251617387503289e-05,0.006777259673432508
ARID5B,-1.2278087170527456,5.2547157406252214e-05,0.006777259673432508
KIF3C,-1.2281284207102239,5.284771874334898e-05,0.006777259673432508
PMEPA1,-1.6546334292188227,5.300264030392671e-05,0.006777259673432508
UBL4A,-1.394933590803463,5.324532623508826e-05,0.006777259673432508
ZBED1,-1.4834398274498746,5.361980763675825e-05,0.006792269890828587
LOC728743,-1.6705758468931933,5.453327260673197e-05,0.006830818677682758
OAS3,-1.998311392299927,5.4728844016620756e-05,0.006830818677682758
RAB3IL1,-2.107622583536929,5.490247542214563e-05,0.006830818677682758
IKZF4,-2.0288203377816485,5.544978168789618e-05,0.006830818677682758
PPP2R5B,-0.8128572967267944,5.555665135332987e-05,0.006830818677682758
SYNGAP1,-1.5182117162584516,5.562407708721555e-05,0.006830818677682758
DYSF,-1.887709514884789,5.592370039054957e-05,0.006830818677682758
TMUB1,-1.4526454485445672,5.617412128158486e-05,0.006830818677682758
LPGAT1,-0.9334864330233383,5.6248908473826874e-05,0.006830818677682758
HPS4,-0.9487672715640052,5.650422248961375e-05,0.006830818677682758
MRPS15,-0.8577954118893736,5.7067566620079525e-05,0.006867562846666389
CCL5,-1.7577283173920986,5.98939854494519e-05,0.007175082646037281
ADAM11,-1.501849992035238,6.120463605898278e-05,0.007243114244209834
SMARCE1,-0.5833836533564547,6.129098203955836e-05,0.007243114244209834
SLC4A7,-0.6650832929594124,6.15575346949454e-05,0.007243114244209834
CACNA2D1,-0.6608153104820271,6.158950649699597e-05,0.007243114244209834
MROH6,-2.4238341984483283,6.182979487030869e-05,0.007243114244209834
BARX1,-1.2520883758560224,6.239267272015441e-05,0.007276854670775719
NCS1,-1.2088473854515929,6.298619381661095e-05,0.007302510691385374
LOC642852,-0.6850728440107137,6.32475686390408e-05,0.007302510691385374
NFKB2,-1.566924438511272,6.344013065226199e-05,0.007302510691385374
