gene	GSM9850794	GSM9850795	GSM9850796	GSM9850797	GSM9850798	GSM9850799	GSM9850800
Pet100	2371	239	590	769	161	137	84
Pet117	0	0	0	0	0	0	0
Pet2	0	0	0	0	0	0	0
Pex1	189	52	179	184	48	21	20
Pex10	57	15	25	40	15	8	5
Pex11a	143	31	100	51	17	19	12
Pex11b	500	59	209	190	48	50	24
Pex11g	249	24	83	86	13	28	18
Pex12	139	24	68	94	25	11	10
Pex13	237	69	521	547	117	71	53
Pex14	461	44	717	755	154	85	77
Pex16	382	54	213	178	51	25	19
Pex19	795	130	370	476	98	61	69
Pex2	561	133	464	522	111	107	91
Pex26	84	22	70	70	33	18	11
Pex3	661	67	318	372	84	40	42
Pex5	239	59	419	445	68	39	31
Pex5l	15	3	26	47	7	1	6
Pex6	371	122	190	285	86	44	37
Pex7	394	85	260	431	100	70	73
Pf4	1684	13	1056	814	22	88	4
Pfas	109	26	62	103	32	30	12
Pfdn1	4432	328	1409	1690	288	229	256
Pfdn2	2862	301	1376	1430	282	208	210
Pfdn4	942	104	518	600	86	78	96
Pfdn5	12954	1641	5812	7061	1568	831	638
Pfdn6	2190	206	893	1158	203	165	179
Pfkfb1	29	3	38	46	6	2	9
Pfkfb2	36	18	22	40	12	20	18
Pfkfb3	397	38	659	569	63	39	47
Pfkfb4	389	31	373	646	61	41	30
Pfkl	1335	91	1000	758	32	113	235
Pfkm	311	37	116	140	28	15	25
Pfkp	1663	229	1678	1661	351	98	118
Pfn1	15001	2073	7233	11053	1519	2338	2008
Pfn2	715	83	303	345	86	39	31
Pfn3	0	0	0	0	0	0	0
Pfn4	10	2	5	5	0	0	0
Pfn5	0	0	0	0	0	0	0
Pfpl	0	0	0	0	0	0	0
Pga5	0	0	1	0	0	0	0
Pgam1	11680	662	5648	5046	402	480	1179
Pgam2	1	0	0	13	1	0	0
Pgam5	325	47	203	233	58	35	34
Pgap1	809	49	295	385	77	43	44
Pgap2	1009	194	600	727	129	98	93
Pgap3	55	15	31	35	7	13	5
Pgbd1	6	5	13	6	4	1	4
Pgbd5	1	0	3	5	0	1	0
Pgc	2	1	1	0	0	0	0
Pgd	1934	188	895	1074	185	129	132
Pgf	1250	14	585	137	57	8	15
Pgghg	363	70	141	222	75	38	14
Pggt1b	792	131	237	266	58	88	46
Pgk1	10371	464	4933	4200	244	309	1050
Pgk2	0	0	0	0	0	0	0
Pgls	6836	422	2314	3033	448	299	345
Pglyrp1	107	22	128	107	13	33	6
Pglyrp2	0	7	7	7	1	11	2
Pglyrp3	0	0	2	0	2	0	0
Pglyrp4	0	0	0	4	0	0	0
Pgm1	1492	124	448	461	72	63	125
Pgm2	260	76	734	743	103	48	38
Pgm2l1	169	28	126	205	50	16	3
Pgm3	950	129	482	878	229	71	85
Pgm5	15	3	43	13	10	1	0
Pgp	2817	161	915	1279	180	111	149
Pgpep1	301	68	165	257	66	26	26
Pgpep1l	9	1	13	47	6	0	1
Pgr	4	0	11	9	71	0	0
Pgr15l	0	0	0	0	0	0	0
